Kategori1;Kategori2;Kategori3;Harga;HargaAtas; OmsetMinimum;JumlahTerjual;JumlahReview;JumlahRating;ValidOrder;KotaPengiriman;PenjualanSebelumnya;KenaikanPenjualan;PersentaseKenaikanPenjualan;ReviewSebelumnya;KenaikanReviewPenjualan;PersentaseKenaikanReview;;
Komputer & Aksesoris;Keyboard & Mouse;Mouse;Rp. 51000;Rp. 51000; Rp1.121.541.000,00 ;21.991;9.012;4,91;40,98%;KOTA JAKARTA PUSAT;2.683;138;6,32;8.491;521;6,14;;
Komputer & Aksesoris;Keyboard & Mouse;Mouse;Rp. 49666;Rp. 49666; Rp495.865.344,00 ;9.984;4.996;4,84;50,04%;KOTA JAKARTA UTARA;;;;;;0,00;;
Komputer & Aksesoris;Keyboard & Mouse;Keyboard;Rp. 63900;Rp. 165000; Rp1.568.489.400,00 ;24.546;11.956;4,82;48,71%;KOTA JAKARTA UTARA;23.119;1.427;6,17;1.135;651;5,76;;
Komputer & Aksesoris;Keyboard & Mouse;Mouse;Rp. 12000;Rp. 12000; Rp55.152.000,00 ;4.596;2.538;4,66;55,22%;KOTA JAKARTA UTARA;;;;;;0,00;;
Komputer & Aksesoris;Keyboard & Mouse;Mouse;Rp. 13500;Rp. 13500; Rp93.393.000,00 ;6.918;3.754;4,75;54,26%;KOTA JAKARTA UTARA;;;;;;0,00;;
Komputer & Aksesoris;Keyboard & Mouse;Mouse;Rp. 66666;Rp. 66666; Rp1.277.653.890,00 ;19.165;10.286;4,87;53,67%;KOTA JAKARTA UTARA;1.832;1.133;6,28;9.773;513;5,25;;
Komputer & Aksesoris;Keyboard & Mouse;Mouse;Rp. 6500;Rp. 24999; Rp108.758.000,00 ;16.732;5.222;4,59;31,21%;KOTA JAKARTA BARAT;15.762;97;6,15;4.946;276;5,58;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 170;Rp. 170; Rp5.337.490,00 ;31.397;50;4,88;0,16%;KAB. LAMONGAN;2.221;9.376;42,58;46;4;8,70;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 600;Rp. 1000; Rp100.648.800,00 ;167.748;1.754;4,95;1,05%;KOTA JAKARTA SELATAN;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 225;Rp. 825; Rp40.293.900,00 ;179.084;4.617;4,97;2,58%;KAB. BEKASI;166.797;12.287;7,37;4.335;282;6,51;;
Hobi & Koleksi;Koleksi;Koleksi Lainnya;Rp. 179;Rp. 179; Rp2.284.756,00 ;12.764;74;4,92;0,58%;KAB. KLATEN;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 99;Rp. 99; Rp5.811.993,00 ;58.707;458;4,95;0,78%;KAB. MOJOKERTO;47.231;11.476;24,30;369;89;24,12;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 220;Rp. 220; Rp6.397.820,00 ;29.081;98;4,91;0,34%;KOTA PALEMBANG;17.865;11.216;62,78;66;32;48,48;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 290;Rp. 480; Rp30.768.710,00 ;106.099;1.922;4,97;1,81%;KOTA SERANG;95.593;156;1,99;1.743;179;10,27;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 500;Rp. 2000; Rp65.650.000,00 ;131.300;1.126;4,98;0,86%;KOTA YOGYAKARTA;127;16;8,78;124;12;9,96;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 100;Rp. 100; Rp5.995.300,00 ;59.953;378;4,90;0,63%;KOTA SEMARANG;4.925;1.928;22,30;323;55;17,03;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 550;Rp. 1100; Rp76.001.200,00 ;138.184;1.228;4,96;0,89%;KOTA JAKARTA SELATAN;12.761;1.574;8,29;1.178;5;4,24;;
Hobi & Koleksi;Koleksi;Koleksi Lainnya;Rp. 500;Rp. 1050; Rp16.732.000,00 ;33.464;280;4,94;0,84%;KOTA JAKARTA SELATAN;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 220;Rp. 880; Rp5.407.600,00 ;24.580;119;4,79;0,48%;KOTA BANJARMASIN;16.774;786;46,54;9;29;32,22;;
Hobi & Koleksi;Koleksi;Action Figure;Rp. 2050;Rp. 2050; Rp100.913.300,00 ;49.226;1.997;4,58;4,06%;KOTA JAKARTA BARAT;4.956;827;2,19;159;47;25,60;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 150;Rp. 150; Rp2.624.100,00 ;17.494;333;4,95;1,90%;KAB. BEKASI;8.847;8.647;97,74;182;151;82,97;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 165;Rp. 165; Rp3.568.125,00 ;21.625;45;4,93;0,21%;KAB. BREBES;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Anime & Manga;Rp. 1000;Rp. 1000; Rp98.562.000,00 ;98.562;3.806;4,55;3,86%;KAB. SIDOARJO;9.455;817;8,96;3.474;332;9,56;;
Hobi & Koleksi;Koleksi;Koin & Uang Kertas;Rp. 155;Rp. 238; Rp44.075.180,00 ;284.356;3.608;4,84;1,27%;KAB. MOJOKERTO;2.772;7.336;2,65;3.573;35;0,98;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 667;Rp. 725; Rp6.236.450,00 ;9.350;16;5,00;0,17%;KOTA DEPOK;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Lainnya;Rp. 400;Rp. 400; Rp9.603.600,00 ;24.009;236;4,90;0,98%;KOTA BANJARMASIN;16.982;727;41,38;177;59;33,33;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 245;Rp. 245; Rp291.973.115,00 ;1.191.727;2.593;4,95;0,22%;KOTA SURAKARTA (SOLO);1.184.373;7.354;0,63;2.553;4;1,57;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 200;Rp. 1000; Rp12.324.000,00 ;61.620;403;4,98;0,65%;KOTA SURABAYA;54.418;722;13,23;374;29;7,75;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 190;Rp. 788; Rp15.537.250,00 ;81.775;770;4,84;0,94%;KAB. BOGOR;74.754;721;9,39;79;61;8,60;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 99;Rp. 158; Rp1.468.467,00 ;14.833;174;4,99;1,17%;KAB. BANDUNG BARAT;8.554;6.279;73,44;1;74;74,00;;
Hobi & Koleksi;Koleksi;Vehicle Model & Diecast;Rp. 1000;Rp. 1000; Rp49.025.000,00 ;49.025;170;4,90;0,35%;KAB. PONOROGO;42.835;619;14,46;158;12;7,59;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 100;Rp. 110; Rp7.474.800,00 ;74.748;971;4,92;1,30%;KOTA JAKARTA SELATAN;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 165;Rp. 495; Rp11.029.095,00 ;66.843;438;4,84;0,66%;KAB. SLEMAN;61.266;5.577;9,13;47;31;7,62;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 325;Rp. 700; Rp15.254.850,00 ;46.938;407;4,80;0,87%;KOTA DEPOK;4.923;615;14,70;361;46;12,74;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 400;Rp. 800; Rp90.901.200,00 ;227.253;7.335;4,98;3,23%;KOTA JAKARTA BARAT;221.416;5.837;2,64;7.184;151;2,10;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 400;Rp. 850; Rp50.045.600,00 ;125.114;2.538;4,93;2,03%;KAB. SIDOARJO;119.645;5.469;4,57;2.419;119;4,92;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 550;Rp. 1000; Rp6.498.250,00 ;11.815;70;4,89;0,59%;KOTA JAKARTA SELATAN;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 150;Rp. 175; Rp16.919.700,00 ;112.798;926;4,79;0,82%;KOTA DEPOK;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Lainnya;Rp. 199;Rp. 199; Rp1.063.058,00 ;5.342;233;4,85;4,36%;KAB. GRESIK;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Lainnya;Rp. 6500;Rp. 6500; Rp94.523.000,00 ;14.542;261;4,70;1,79%;KAB. TANGERANG;9.632;491;5,98;24;57;27,94;;
Hobi & Koleksi;Koleksi;Koleksi Lainnya;Rp. 300;Rp. 300; Rp36.027.900,00 ;120.093;549;4,88;0,46%;KOTA SEMARANG;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Action Figure;Rp. 810;Rp. 1410; Rp12.381.660,00 ;15.286;257;4,65;1,68%;KAB. TANGERANG;1.435;4.851;46,49;214;43;20,09;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 100;Rp. 100; Rp205.100,00 ;2.051;29;4,86;1,41%;KOTA BATU;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Lainnya;Rp. 400;Rp. 400; Rp6.188.800,00 ;15.472;55;4,82;0,36%;KOTA SURABAYA;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 550;Rp. 3000; Rp29.956.850,00 ;54.467;877;4,99;1,61%;KOTA DEPOK;5.213;4.254;8,47;818;59;7,21;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 500;Rp. 895; Rp101.122.000,00 ;202.244;1.326;4,96;0,66%;KOTA JAKARTA SELATAN;197.688;4.556;2,35;1.299;27;2,08;;
Hobi & Koleksi;Koleksi;Action Figure;Rp. 450;Rp. 3000; Rp2.226.600,00 ;4.948;14;4,93;0,28%;KOTA BEKASI;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Action Figure;Rp. 1000;Rp. 1000; Rp41.265.000,00 ;41.265;1.025;4,49;2,48%;KAB. TUBAN;37.369;3.896;1,43;913;112;12,27;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 390;Rp. 550; Rp19.936.410,00 ;51.119;722;4,98;1,41%;KOTA BOGOR;4.739;381;8,53;667;55;8,25;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 590;Rp. 690; Rp43.064.100,00 ;72.990;2.252;4,96;3,09%;KOTA JAKARTA BARAT;68.644;4.346;6,33;2.153;99;4,60;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 145;Rp. 145; Rp1.343.425,00 ;9.265;17;4,76;0,18%;KAB. BOGOR;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 350;Rp. 670; Rp7.827.750,00 ;22.365;119;4,87;0,53%;KAB. SLEMAN;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 475;Rp. 475; Rp41.079.425,00 ;86.483;1.122;4,72;1,30%;KOTA DEPOK;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 200;Rp. 350; Rp9.509.000,00 ;47.545;313;4,80;0,66%;KOTA MEDAN;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 300;Rp. 450; Rp14.072.400,00 ;46.908;405;4,85;0,86%;KOTA DENPASAR;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koin & Uang Kertas;Rp. 2500;Rp. 3000; Rp451.462.500,00 ;180.585;4.585;4,89;2,54%;KOTA JAKARTA SELATAN;176.477;418;2,33;4.397;188;4,28;;
Hobi & Koleksi;Koleksi;Koin & Uang Kertas;Rp. 200;Rp. 200; Rp4.247.800,00 ;21.239;655;4,81;3,08%;KAB. PATI;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 1250;Rp. 1300; Rp20.421.250,00 ;16.337;1.129;4,94;6,91%;KAB. SIDOARJO;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 150;Rp. 500; Rp817.950,00 ;5.453;17;4,71;0,31%;KAB. SLEMAN;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koin & Uang Kertas;Rp. 120;Rp. 150; Rp289.320,00 ;2.411;1;5,00;0,04%;KAB. CIREBON;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 350;Rp. 800; Rp58.830.800,00 ;168.088;1.754;4,85;1,04%;KAB. BOGOR;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 495;Rp. 650; Rp3.413.520,00 ;6.896;187;4,91;2,71%;KOTA CIREBON;3.698;3.198;86,48;97;9;92,78;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 4000;Rp. 4000; Rp53.632.000,00 ;13.408;4.354;4,88;32,47%;KOTA BOGOR;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Action Figure;Rp. 1000;Rp. 1000; Rp15.127.000,00 ;15.127;67;4,88;0,44%;KOTA JAKARTA SELATAN;11.854;3.273;27,62;53;14;26,42;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 3500;Rp. 3500; Rp15.431.500,00 ;4.409;782;4,91;17,74%;KOTA BANDUNG;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 163;Rp. 163; Rp42.819.122,00 ;262.694;1.132;4,85;0,43%;KOTA DEPOK;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 339;Rp. 1700; Rp5.404.338,00 ;15.942;752;4,96;4,72%;KOTA SURABAYA;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Action Figure;Rp. 34500;Rp. 34500; Rp320.229.000,00 ;9.282;3.733;4,47;40,22%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 750;Rp. 999; Rp39.312.750,00 ;52.417;554;4,83;1,06%;KAB. BOGOR;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 998;Rp. 998; Rp702.611.960,00 ;704.020;17.369;4,92;2,47%;KOTA TANJUNG PINANG;7.185;2.935;0,42;17.296;73;0,42;;
Hobi & Koleksi;Koleksi;Action Figure;Rp. 3221;Rp. 3221; Rp93.769.752,00 ;29.112;3.252;4,87;11,17%;KOTA SURABAYA;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Lainnya;Rp. 260;Rp. 510; Rp875.940,00 ;3.369;37;5,00;1,10%;KAB. SIDOARJO;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Anime & Manga;Rp. 15000;Rp. 22000; Rp241.725.000,00 ;16.115;6.298;4,81;39,08%;KOTA JAKARTA SELATAN;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 200;Rp. 500; Rp7.201.600,00 ;36.008;108;4,91;0,30%;KAB. SLEMAN;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koleksi Penggemar;Rp. 3500;Rp. 3500; Rp17.171.000,00 ;4.906;889;4,95;18,12%;KOTA SURABAYA;;;;;;0,00;;
Hobi & Koleksi;Koleksi;Koin & Uang Kertas;Rp. 100;Rp. 100; Rp606.200,00 ;6.062;30;4,63;0,49%;KAB. KUDUS;;;;;;0,00;;
Komputer & Aksesoris;Komponen Desktop & Laptop;Fan & Heatsink;Rp. 8240;Rp. 8240; Rp101.640.400,00 ;12.335;23;5,00;0,19%;KOTA CIREBON;9.469;2.866;3,27;18;5;27,78;;
Komputer & Aksesoris;Komponen Desktop & Laptop;Fan & Heatsink;Rp. 750;Rp. 750; Rp5.805.000,00 ;7.740;83;4,93;1,07%;KAB. NGAWI;;;;;;0,00;;
Komputer & Aksesoris;Komponen Desktop & Laptop;Memory RAM;Rp. 65500;Rp. 65500; Rp140.825.000,00 ;2.150;584;4,97;27,16%;KAB. TUBAN;;;;;;0,00;;
Komputer & Aksesoris;Komponen Desktop & Laptop;Fan & Heatsink;Rp. 17000;Rp. 17000; Rp116.467.000,00 ;6.851;2.462;4,68;35,94%;KOTA JAKARTA UTARA;4.355;2.496;57,31;1.595;867;54,36;;
Komputer & Aksesoris;Komponen Desktop & Laptop;Komponen Desktop & Laptop Lainnya;Rp. 2500;Rp. 2500; Rp34.980.000,00 ;13.992;634;4,87;4,53%;KOTA JAKARTA BARAT;;;;;;0,00;;
Komputer & Aksesoris;Komponen Desktop & Laptop;Power Supply;Rp. 9000;Rp. 25000; Rp61.524.000,00 ;6.836;938;4,49;13,72%;KOTA SURABAYA;5.198;1.638;31,51;728;21;28,85;;
Komputer & Aksesoris;Komponen Desktop & Laptop;UPS & Stabilizer;Rp. 115;Rp. 115; Rp2.363.020,00 ;20.548;124;4,81;0,60%;KOTA SURABAYA;;;;;;0,00;;
Komputer & Aksesoris;Komponen Desktop & Laptop;Komponen Desktop & Laptop Lainnya;Rp. 800;Rp. 1999; Rp7.608.000,00 ;9.510;277;4,79;2,91%;KAB. JEPARA;;;;;;0,00;;
Komputer & Aksesoris;Komponen Desktop & Laptop;Casing Komputer;Rp. 105000;Rp. 105000; Rp95.865.000,00 ;913;27;4,93;2,96%;KOTA TANGERANG;;;;;;0,00;;
Komputer & Aksesoris;Komponen Desktop & Laptop;Sound Card;Rp. 92800;Rp. 92800; Rp2.293.459.200,00 ;24.714;12.173;4,66;49,26%;KOTA JAKARTA UTARA;23.369;1.345;5,76;11.548;625;5,41;;
Komputer & Aksesoris;Komponen Desktop & Laptop;Fan & Heatsink;Rp. 3500;Rp. 3500; Rp51.355.500,00 ;14.673;1.322;4,73;9,01%;KOTA SURABAYA;;;;;;0,00;;
Komputer & Aksesoris;Komponen Desktop & Laptop;UPS & Stabilizer;Rp. 370;Rp. 370; Rp6.650.010,00 ;17.973;241;4,95;1,34%;KAB. TANGERANG;;;;;;0,00;;
Komputer & Aksesoris;Komponen Desktop & Laptop;Sound Card;Rp. 72900;Rp. 72900; Rp183.051.900,00 ;2.511;1.149;4,66;45,76%;KOTA JAKARTA UTARA;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 1800;Rp. 1800; Rp38.179.800,00 ;21.211;335;4,85;1,58%;KOTA BANDUNG;1.679;4.421;26,33;262;73;27,86;;
Komputer & Aksesoris;Komponen Network;Komponen Network Lainnya;Rp. 180;Rp. 180; Rp3.300.840,00 ;18.338;15;5,00;0,08%;KOTA JAKARTA TIMUR;13.413;4.925;36,72;7;8;114,29;;
Komputer & Aksesoris;Komponen Network;Komponen Network Lainnya;Rp. 900;Rp. 3800; Rp93.747.600,00 ;104.164;1.054;4,89;1,01%;KOTA JAKARTA UTARA;98.931;5.233;5,29;16;48;4,77;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 853;Rp. 853; Rp20.635.776,00 ;24.192;219;4,91;0,91%;KAB. BOGOR;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 63700;Rp. 112900; Rp2.212.301.000,00 ;34.730;8.032;4,85;23,13%;KAB. SIDOARJO;31.586;3.144;9,95;738;652;8,83;;
Komputer & Aksesoris;Komponen Network;Wireless Adapter & Kartu Network;Rp. 13500;Rp. 13500; Rp216.958.500,00 ;16.071;5.300;4,64;32,98%;KOTA JAKARTA PUSAT;1.465;1.466;1,38;4.722;578;12,24;;
Komputer & Aksesoris;Komponen Network;Repeater;Rp. 3200;Rp. 3200; Rp64.867.200,00 ;20.271;646;4,89;3,19%;KOTA SURABAYA;17.797;2.474;13,91;616;3;4,87;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 1000;Rp. 1250; Rp1.775.000,00 ;1.775;4;5,00;0,23%;KOTA SEMARANG;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Repeater;Rp. 950;Rp. 1140; Rp26.850.800,00 ;28.264;693;4,90;2,45%;KAB. SIDOARJO;25.356;298;11,47;642;51;7,94;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 8000;Rp. 8000; Rp20.888.000,00 ;2.611;38;4,97;1,46%;KAB. JOMBANG;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 1066;Rp. 1066; Rp3.794.960,00 ;3.560;52;4,85;1,46%;KOTA SURABAYA;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 1066;Rp. 3200; Rp23.289.968,00 ;21.848;775;4,85;3,55%;KOTA SURABAYA;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Wireless Adapter & Kartu Network;Rp. 1000;Rp. 1000; Rp16.910.000,00 ;16.910;256;4,88;1,51%;KAB. SIDOARJO;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 180;Rp. 180; Rp3.066.480,00 ;17.036;68;4,91;0,40%;KOTA JAKARTA BARAT;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 4875;Rp. 34000; Rp54.994.875,00 ;11.281;4.014;4,88;35,58%;KOTA JAKARTA BARAT;9.467;1.814;19,16;3.412;62;17,64;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 1500;Rp. 1500; Rp28.540.500,00 ;19.027;334;4,85;1,76%;KOTA BANDUNG;17.629;1.398;7,93;316;18;5,70;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 8000;Rp. 8000; Rp57.440.000,00 ;7.180;207;4,91;2,88%;KOTA SURABAYA;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 3000;Rp. 3000; Rp27.978.000,00 ;9.326;282;4,89;3,02%;KOTA BANDUNG;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 1000;Rp. 1000; Rp10.516.000,00 ;10.516;454;4,88;4,32%;KAB. SIDOARJO;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 3666;Rp. 3666; Rp86.132.670,00 ;23.495;1.227;4,86;5,22%;KOTA JAKARTA UTARA;2.182;1.675;7,68;115;77;6,70;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 550;Rp. 550; Rp7.155.500,00 ;13.010;155;4,94;1,19%;KOTA JAKARTA PUSAT;1.977;233;18,53;129;26;20,16;;
Komputer & Aksesoris;Komponen Network;Wireless Adapter & Kartu Network;Rp. 36900;Rp. 36900; Rp275.200.200,00 ;7.458;3.461;4,81;46,41%;KOTA SURABAYA;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Komponen Network Lainnya;Rp. 250;Rp. 250; Rp3.240.500,00 ;12.962;61;4,89;0,47%;KOTA TANGERANG;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Komponen Network Lainnya;Rp. 3500;Rp. 4500; Rp46.746.000,00 ;13.356;183;4,86;1,37%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 100;Rp. 100; Rp251.100,00 ;2.511;6;4,17;0,24%;KAB. BEKASI;1.614;897;55,58;4;2;50,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 1999;Rp. 1999; Rp85.097.430,00 ;42.570;673;4,88;1,58%;KOTA SURABAYA;41.145;1.425;3,46;651;22;3,38;;
Komputer & Aksesoris;Komponen Network;Powerline Adapter;Rp. 11000;Rp. 11000; Rp106.898.000,00 ;9.718;629;4,81;6,47%;KOTA JAKARTA UTARA;8.439;1.279;15,16;589;4;6,79;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 1500;Rp. 1500; Rp9.667.500,00 ;6.445;144;4,92;2,23%;KOTA BANDUNG;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 1800;Rp. 1800; Rp102.151.800,00 ;56.751;751;4,83;1,32%;KOTA BANDUNG;54.714;237;3,72;728;23;3,16;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 13900;Rp. 84000; Rp129.895.500,00 ;9.345;3.176;4,90;33,99%;KAB. BEKASI;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Repeater;Rp. 32000;Rp. 32000; Rp258.752.000,00 ;8.086;1.364;4,85;16,87%;KAB. SIDOARJO;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Modem & Router Wireless;Rp. 140900;Rp. 140900; Rp1.665.438.000,00 ;11.820;4.022;4,79;34,03%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 32000;Rp. 32000; Rp130.368.000,00 ;4.074;1.068;4,90;26,22%;KAB. SIDOARJO;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Kabel Network & Konektor;Rp. 3200;Rp. 3200; Rp3.132.800,00 ;979;11;4,82;1,12%;KOTA SURABAYA;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Wireless Adapter & Kartu Network;Rp. 2350;Rp. 2350; Rp1.927.000,00 ;820;8;5,00;0,98%;KOTA TANGERANG;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Modem & Router Wireless;Rp. 153000;Rp. 153000; Rp604.503.000,00 ;3.951;1.430;4,89;36,19%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Repeater;Rp. 129000;Rp. 129000; Rp2.866.638.000,00 ;22.222;10.935;4,83;49,21%;KOTA JAKARTA BARAT;2.975;1.247;5,95;1.373;562;5,42;;
Komputer & Aksesoris;Komponen Network;Modem & Router Wireless;Rp. 5999;Rp. 5999; Rp86.931.509,00 ;14.491;794;4,62;5,48%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Repeater;Rp. 128900;Rp. 128900; Rp1.369.691.400,00 ;10.626;5.254;4,84;49,44%;KOTA JAKARTA TIMUR;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Komponen Network Lainnya;Rp. 3599;Rp. 3599; Rp9.360.999,00 ;2.601;40;4,85;1,54%;KAB. MALANG;;;;;;0,00;;
Komputer & Aksesoris;Komponen Network;Wireless Adapter & Kartu Network;Rp. 62888;Rp. 62888; Rp323.747.424,00 ;5.148;1.830;4,55;35,55%;KAB. TANGERANG;;;;;;0,00;;
Komputer & Aksesoris;Komputer & Aksesoris Lainnya;;Rp. 53813;Rp. 53813; Rp268.473.057,00 ;4.989;4;5,00;0,08%;KOTA SALATIGA;;;;;;0,00;;
Komputer & Aksesoris;Komputer & Aksesoris Lainnya;;Rp. 450;Rp. 450; Rp2.301.750,00 ;5.115;37;4,68;0,72%;KAB. TEMANGGUNG;2.835;228;8,42;21;16;76,19;;
Komputer & Aksesoris;Komputer & Aksesoris Lainnya;;Rp. 6925;Rp. 44300; Rp131.014.075,00 ;18.919;71;4,99;0,38%;KAB. INDRAMAYU;16.524;2.395;14,49;59;12;20,34;;
Komputer & Aksesoris;Komputer & Aksesoris Lainnya;;Rp. 18000;Rp. 103600; Rp41.274.000,00 ;2.293;938;4,87;40,91%;KAB. PEKALONGAN;;;;;;0,00;;
Komputer & Aksesoris;Komputer & Aksesoris Lainnya;;Rp. 250;Rp. 250; Rp874.750,00 ;3.499;32;5,00;0,91%;KOTA SURABAYA;;;;;;0,00;;
Komputer & Aksesoris;Komputer & Aksesoris Lainnya;;Rp. 18000;Rp. 103600; Rp16.308.000,00 ;906;420;4,86;46,36%;KAB. PEKALONGAN;;;;;;0,00;;
