Kategori1;Kategori2;Kategori3;Harga;HargaAtas; OmsetMinimum;JumlahTerjual;JumlahReview;JumlahRating;ValidOrder;KotaPengiriman;PenjualanSebelumnya;KenaikanPenjualan;PersentaseKenaikanPenjualan;ReviewSebelumnya;KenaikanReviewPenjualan;PersentaseKenaikanReview;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Alat Perawatan & Pembersih Sepatu;Rp. 5841;Rp. 5841; Rp20.799.801,00 ;3.561;1.026;4,56;28,81%;KOTA SURAKARTA (SOLO);;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Insole Sepatu;Rp. 800;Rp. 5000; Rp7.621.600,00 ;9.527;2.217;4,84;23,27%;KAB. TANGERANG;8.453;174;12,76;1.958;259;13,23;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Alat Perawatan & Pembersih Sepatu;Rp. 37000;Rp. 37000; Rp544.381.000,00 ;14.713;5.096;4,80;34,64%;KOTA SALATIGA;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Tali Sepatu;Rp. 600;Rp. 1000; Rp32.575.200,00 ;54.292;2.030;4,78;3,74%;KAB. TANGERANG;53.525;767;1,43;1.968;62;3,15;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Alat Perawatan & Pembersih Sepatu;Rp. 240;Rp. 240; Rp10.936.320,00 ;45.568;922;4,67;2,02%;KOTA JAKARTA BARAT;44.354;1.214;2,74;858;64;7,46;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Alat Perawatan & Pembersih Sepatu;Rp. 7500;Rp. 7500; Rp161.722.500,00 ;21.563;2.915;4,88;13,52%;KOTA JAKARTA BARAT;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Insole Sepatu;Rp. 13900;Rp. 13900; Rp70.973.400,00 ;5.106;1.565;4,83;30,65%;KOTA JAKARTA UTARA;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Alat Perawatan & Pembersih Sepatu;Rp. 20000;Rp. 20000; Rp70.100.000,00 ;3.505;1.708;4,83;48,73%;KOTA TANGERANG SELATAN;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Shoe Tree & Horns;Rp. 15500;Rp. 16000; Rp160.998.500,00 ;10.387;2.165;4,83;20,84%;KOTA TANGERANG SELATAN;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Alat Perawatan & Pembersih Sepatu;Rp. 14999;Rp. 24999; Rp61.645.890,00 ;4.110;1.896;4,84;46,13%;KOTA JAKARTA BARAT;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Parfum Sepatu;Rp. 15000;Rp. 15000; Rp30.195.000,00 ;2.013;749;4,88;37,21%;KOTA JAKARTA SELATAN;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Shoe Tree & Horns;Rp. 14800;Rp. 14800; Rp41.040.400,00 ;2.773;562;4,84;20,27%;KOTA JAKARTA TIMUR;;;;;;0,00;;
